Title,Podcaster,Author,Ship,Link,Link
All I want for Christmas is You ( Literally),ETL_Echo_Audiobooks,forgotten_traveler,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/43758484""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/43758484""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
All Yours,The Dramione Archives,sweetestsorrows,Hermione Granger/Draco Malfoy,"<a href=""https://open.spotify.com/episode/0cee7FAXSc5OhJDgz5dWpr?si=7678b29bcb234de0""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>","<a href=""https://open.spotify.com/episode/0cee7FAXSc5OhJDgz5dWpr?si=7678b29bcb234de0""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
Aloe You Vera Much,inmyownlittle_podfic_corner,pandora_rose_xo,Neville Longbottom/Ron Weasley,"<a href=""https://archiveofourown.org/works/45174871""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/45174871""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Amortentia,Draco Malfoy Podfics,fallingforfictionalcharacterss,Hermione Granger/Draco Malfoy,"<a href=""https://open.spotify.com/episode/0qDWQgMfAmWRd6uTSGQ06O?si=7tg0vnZPQR2GicWpyXds7A""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>","<a href=""https://open.spotify.com/episode/0qDWQgMfAmWRd6uTSGQ06O?si=7tg0vnZPQR2GicWpyXds7A""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
Amortentia,JocundaSykes,Avioleta,Harry Potter/Severus Snape,"<a href=""https://archiveofourown.org/works/36101479""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/36101479""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
An Apple A Day,ViolaMoon,ViolaMoon,Hermione Granger/Draco Malfoy,"<a href=""https://soundcloud.com/user-754693218/an-apple-a-day""><img src=""./imgs/soundcloud.png"" alt=""soundcloud"" class=""link_icon""></a>","<a href=""https://soundcloud.com/user-754693218/an-apple-a-day""><img src=""./imgs/soundcloud.png"" alt=""soundcloud"" class=""link_icon""></a>"
An Inconvenient Flutter,EllaMcSmellBella,niffizzle,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/43785124""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/43785124""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
An Inexplicable Promise,SilverMiss Fanfiction,,Hermione Granger/Remus Lupin,"<a href=""https://open.spotify.com/episode/5SrZN1pJzsOqmsvysymUpL?si=d083d1dc4dd640bf""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>","<a href=""https://open.spotify.com/episode/5SrZN1pJzsOqmsvysymUpL?si=d083d1dc4dd640bf""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
an infusion of bitterness,kitartpods (kitsunerei88),Tavina,Petunia Evans Dursley & Lily Evans Potter,"<a href=""https://archiveofourown.org/works/46974283""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/46974283""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
An Occasional Fallacy,EllaMcSmellBella,In_Dreams,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/41703897""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/41703897""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
